product_name,dataset_count,period_type,date
s2b_nrt_granule,0,all,1900-01-01
s2a_nrt_granule,3,month,2021-08-01
s2a_nrt_granule,0,month,2021-07-01
s2a_nrt_granule,1,month,2021-06-01
s2a_nrt_granule,4,year,2021-01-01
s2a_nrt_granule,4,all,1900-01-01
ga_s2bm_ard_provisional_3,1,month,2021-08-01
ga_s2bm_ard_provisional_3,1,year,2021-01-01
ga_s2bm_ard_provisional_3,1,all,1900-01-01
ga_s2am_ard_provisional_3,1,month,2021-08-01
ga_s2am_ard_provisional_3,1,year,2021-01-01
ga_s2am_ard_provisional_3,1,all,1900-01-01
ga_ls8c_ard_provisional_3,1,month,2021-08-01
ga_ls8c_ard_provisional_3,1,year,2021-01-01
ga_ls8c_ard_provisional_3,1,all,1900-01-01
ga_ls7e_ard_provisional_3,1,month,2021-08-01
ga_ls7e_ard_provisional_3,1,year,2021-01-01
ga_ls7e_ard_provisional_3,1,all,1900-01-01
